Page,Visitors,Visitors (compared),Views,Views (compared),Bounce rate,Bounce rate (compared),Time on page,Time on page (compared)
https://www.ramify.fr/assurance-vie/succession,6028,6438,6746,7074,0.90180878553,0.908158579519,115,117
https://www.ramify.fr/assurance-vie/fiscalite,4063,4464,4744,5163,0.843113482056,0.853427374917,136,119
https://www.ramify.fr/assurance-vie/retrait-assurance-vie-8-ans,3694,4381,4339,5231,0.848047084002,0.843071412581,80,84
https://www.ramify.fr/outils/calculatrice-interet-compose,3410,3870,4096,4704,0.842351002472,0.838993403372,87,89
https://www.ramify.fr/pea/etf,2648,5170,3390,6639,0.776513761468,0.779285979918,102,98
https://www.ramify.fr/gestion-de-patrimoine/flat-tax,2026,1459,2277,1636,0.896568160153,0.874251497006,84,91
https://www.ramify.fr/per/fiscalite,1699,1377,1833,1486,0.832560834299,0.838848920863,74,82
https://www.ramify.fr/pea/retrait,1595,1441,1774,1621,0.877702285361,0.865803814714,91,87
https://www.ramify.fr/bourse/meilleur-etf,1487,1146,2489,1850,0.669790915645,0.671957671958,79,75
https://www.ramify.fr/gestion-de-patrimoine/taux-marginal-imposition,1402,708,1783,899,0.831005586592,0.807956104252,98,90
https://www.ramify.fr/gestion-de-patrimoine/donation-100000-euros,1395,906,1517,1008,0.911221590909,0.897186147186,115,123
https://www.ramify.fr/per/deblocage-sortie,1337,2300,1479,2478,0.920379839299,0.921492921493,69,65
https://www.ramify.fr/epargne/compte-a-terme,1183,1373,1328,1590,0.87619047619,0.871156661786,99,101
https://www.ramify.fr/outils/simulateur-droit-succession,870,619,1111,801,0.813616071429,0.806349206349,77,62
https://www.ramify.fr/gestion-de-patrimoine/investir-or,803,2288,898,2470,0.899755501222,0.898587933248,103,111
https://www.ramify.fr/epargne/contrat-capitalisation,727,374,819,409,0.878179384203,0.877005347594,149,160
https://www.ramify.fr/bourse/etf-sp-500,716,734,838,845,0.782956058589,0.814136125654,94,86
https://www.ramify.fr/defiscalisation/loi-girardin,707,730,763,786,0.904761904762,0.914552736983,117,114
